id,name,reason
ABW,Aruba,Unter beiden Schwellen: 106.314 Einwohner und 155 km².
AIA,Anguilla,Unter beiden Schwellen: 14.731 Einwohner und 83 km².
ALD,Åland,Unter beiden Schwellen: 29.884 Einwohner und 760 km².
AND,Andorra,Unter beiden Schwellen: 77.142 Einwohner und 442 km².
ASM,Amerikanisch-Samoa,Unter beiden Schwellen: 55.312 Einwohner und 120 km².
ATA,Antarktika,Antarktis - kein Spielgebiet
ATC,Ashmore- und Cartierinseln,Unter beiden Schwellen: 0 Einwohner und 3 km².
ATF,Französische Süd- und Antarktisgebiete,Französische Süd- und Antarktisgebiete - unbewohnt
ATG,Antigua und Barbuda,Unter beiden Schwellen: 97.118 Einwohner und 433 km².
BHS,Bahamas,Unter beiden Schwellen: 389.482 Einwohner und 12.668 km².
BLM,Saint-Barthélemy,Unter beiden Schwellen: 9.961 Einwohner und 25 km².
BLZ,Belize,Unter beiden Schwellen: 390.353 Einwohner und 22.781 km².
BMU,Bermuda,Unter beiden Schwellen: 63.918 Einwohner und 66 km².
BRB,Barbados,Unter beiden Schwellen: 287.025 Einwohner und 389 km².
BRN,Brunei,Unter beiden Schwellen: 433.285 Einwohner und 5.672 km².
BTN,Bhutan,Unter beiden Schwellen: 763.092 Einwohner und 39.877 km².
COK,Cookinseln,Unter beiden Schwellen: 17.459 Einwohner und 61 km².
COM,Komoren,Unter beiden Schwellen: 850.886 Einwohner und 1.586 km².
CPV,Kap Verde,Unter beiden Schwellen: 549.935 Einwohner und 3.585 km².
CUW,Curaçao,Unter beiden Schwellen: 157.538 Einwohner und 430 km².
CYM,Cayman Islands,Unter beiden Schwellen: 64.948 Einwohner und 301 km².
CYN,Türkische Republik Nordzypern,Nordzypern - Teil der Provinz Zypern
DMA,Dominica,Unter beiden Schwellen: 71.808 Einwohner und 698 km².
FRO,Färöer,Unter beiden Schwellen: 48.678 Einwohner und 1.036 km².
FSM,Föderierte Staaten von Mikronesien,Unter beiden Schwellen: 113.815 Einwohner und 524 km².
GGY,Guernsey,Unter beiden Schwellen: 62.792 Einwohner und 48 km².
GRD,Grenada,Unter beiden Schwellen: 112.003 Einwohner und 286 km².
GUM,Guam,Unter beiden Schwellen: 167.294 Einwohner und 482 km².
HMD,Heard und McDonaldinseln,Heard und McDonaldinseln - unbewohnt
IMN,Isle of Man,Unter beiden Schwellen: 84.584 Einwohner und 557 km².
IOA,Australische Territorien im Indischen Ozean,Unter beiden Schwellen: 2.387 Einwohner und 144 km².
IOT,Britisches Territorium im Indischen Ozean,Britisches Territorium im Indischen Ozean - Militärbasis ohne Zivilbevölkerung
JEY,Jersey,Unter beiden Schwellen: 107.800 Einwohner und 126 km².
KAS,Siachen-Gletscher,Siachen-Gletscher - umstrittenes Gebiet ohne eigene Provinz
KIR,Kiribati,Unter beiden Schwellen: 117.606 Einwohner und 938 km².
KNA,St. Kitts und Nevis,Unter beiden Schwellen: 52.834 Einwohner und 233 km².
LCA,St. Lucia,Unter beiden Schwellen: 182.790 Einwohner und 551 km².
