from,to,kind,name,note
ESP,MAR,strait,Straße von Gibraltar,Einzige Verbindung zwischen Atlantik und Mittelmeer
GBR,FRA,strait,Ärmelkanal,Kürzeste Überfahrt nach Kontinentaleuropa
GBR,IRL,sea,Irische See,
GBR,NLD,sea,Nordsee,
GBR,NOR,sea,Nordsee Nord,
ISL,GBR,sea,Nordatlantische Route,
ISL,GRL,strait,Dänemarkstraße,Nordatlantisches Nadelöhr
GRL,CAN-NORTH,sea,Davisstraße,
DNK,SWE,strait,Öresund,Zugang zur Ostsee
DNK,DEU,sea,Kleiner Belt,
SWE,FIN,sea,Bottnischer Meerbusen,
SWE,POL,sea,Ostsee,
EST,FIN,strait,Finnischer Meerbusen,
ITA,TUN,strait,Straße von Sizilien,Teilt das Mittelmeer in West und Ost
ITA,MLT,sea,Malta-Kanal,
ITA,HRV,sea,Adria,
GRC,TUR,sea,Ägäis,
TUR,UKR,strait,Bosporus,Einziger Zugang zum Schwarzen Meer
TUR,ROU,sea,Westliches Schwarzes Meer,
TUR,CYP,sea,Levantisches Becken,
CYP,SYR,sea,Östliches Mittelmeer,
EGY,SAU,strait,Golf von Suez,Sueskanal - Verbindung Mittelmeer zum Roten Meer
DJI,YEM,strait,Bab al-Mandab,Ausgang des Roten Meeres
OMN,IRN,strait,Straße von Hormus,Ausfuhrweg des Persischen Golfs
ARE,IRN,sea,Persischer Golf,
BHR,SAU,sea,Golf von Bahrain,
IND-WEST,OMN,sea,Arabisches Meer,
IND-SOUTH,LKA,strait,Palkstraße,
IND-EAST,BGD,sea,Golf von Bengalen,
MMR,IND-NE,sea,Andamanensee,
SGP,IDN-SUM,strait,Straße von Malakka,Meistbefahrene Meerenge zwischen Indik und Pazifik
SGP,MYS,strait,Johorstraße,
MYS,IDN-KAL,sea,Südchinesisches Meer Süd,
IDN-SUM,IDN-JAVA,strait,Sundastraße,
IDN-JAVA,IDN-KAL,sea,Javasee,
IDN-KAL,IDN-SUL,strait,Makassarstraße,
IDN-SUL,IDN-EAST,sea,Bandasee,
IDN-EAST,TLS,sea,Timorsee,
IDN-EAST,PNG,sea,Arafurasee,
IDN-SUL,PHL,sea,Celebessee,
PHL,TWN,strait,Luzonstraße,
TWN,CHN-EAST,strait,Taiwanstraße,
CHN-EAST,KOR,sea,Gelbes Meer,
KOR,JPN,strait,Koreastraße,
JPN,RUS-FAREAST,strait,La-Pérouse-Straße,
RUS-FAREAST,USA-WEST,strait,Beringstraße,Landbrücke der Kontinente - kürzeste Verbindung Asien-Amerika
CHN-SOUTH,VNM,sea,Golf von Tonkin,
VNM,PHL,sea,Südchinesisches Meer,
AUS-EAST,NZL,sea,Tasmansee,
AUS-EAST,PNG,strait,Torresstraße,
AUS-SE,AUS-EAST,sea,Bassstraße,
AUS-WEST,IDN-EAST,sea,Timorsee Süd,
NZL,FJI,sea,Südpazifik,
USA-SOUTH,CUB,strait,Floridastraße,
CUB,MEX,strait,Yucatánkanal,
PAN,COL,sea,Karibik Süd,Panamakanal - Verbindung Atlantik zum Pazifik
MEX,USA-WEST,sea,Golf von Kalifornien,
BRA-NE,AGO,sea,Südatlantische Route,
ARG,FLK,sea,Südatlantik,
ARG,CHL,strait,Magellanstraße,Umfahrung Südamerikas ohne Kanal
ZAF-CAPE,MDG,sea,Kap-Route,Umfahrung Afrikas
MDG,MOZ,strait,Straße von Mosambik,
ZAF-CAPE,BRA-SE,sea,Südatlantik Ost,
NGA,CMR,sea,Golf von Guinea,
NGA,GHA,sea,Bucht von Benin,
SEN,MAR,sea,Westafrikanische Küstenroute,
GHA,CIV,sea,Elfenbeinküste,
SEN,BRA-NE,sea,Mittelatlantische Route,
USA-NE,GBR,sea,Nordatlantik,
CAN-EAST,GBR,sea,Nordatlantik Nord,
USA-WEST,JPN,sea,Nordpazifik,
USA-WEST,CAN-WEST,sea,Golf von Alaska,
